uid,row,range,gen,average_GC,average_height,emergence,maximum_height,time_max_GC_DAE,yield
1,1,1,MSGG190-1,57.48281639,27.63138637,35.2277351,0.773330682,27.75867436,588.2415
2,2,1,W19016-2,52.49528408,27.55478805,39.62139797,0.87193265,27.05538424,430.83865
3,3,1,W19ND1810Y-8,56.67173383,34.40341289,37.65491666,1.114996476,24.7174337,642.9819
4,4,1,W19002-2,58.36746299,28.46404499,38.03224694,0.954179321,19.94974627,531.6377
5,5,1,W19007-7,57.37976906,27.59615792,,0.709924254,42.5223063,393.26815
6,6,1,W19007-18,50.48065857,30.70053649,39.37181399,0.997474391,31.52535498,592.34945
7,7,1,W19031-14,57.30795439,32.6832362,36.71304689,0.9866551,24.31024026,694.3948
8,8,1,W19009-15,58.93849108,28.94774375,36.33222631,0.936050972,22.46175214,601.491
9,9,1,W19027-46,57.55417585,27.55404071,33.42246567,0.752659112,31.63774764,468.80845
10,10,1,W19015-4,54.73904585,28.98374045,34.44803413,0.837703989,36.84644058,580.34625
11,11,1,MSGG690-1,56.31369039,26.66632455,34.23590733,0.834133965,33.68907244,330.7051
12,12,1,W17037-3,55.67228522,30.74747717,35.57277001,0.996794685,30.95180746,651.91775
13,13,1,W19005-5,54.24923166,31.27256221,37.47358281,0.960966336,30.95026896,545.7342
14,14,1,MSGG365-1,57.68688538,30.80057998,33.83104599,0.899587176,28.56462691,559.28015
15,14,2,MSGG207-1,51.49266466,29.01886998,38.0194848,0.998217398,34.98306495,597.1108
16,13,2,W19012-13,51.97519547,25.73919368,38.66381117,0.943535566,27.11549199,471.5491
17,12,2,W19022-5,55.00385123,28.41904577,37.27664345,1.048261495,24.95871153,663.54585
18,11,2,W17065-11,55.01349034,33.97501818,36.97437966,1.000078014,30.23066129,599.19805
19,10,2,W19028-32,52.46771606,30.32877874,38.86865702,0.979345868,26.80552845,445.91525
20,9,2,W19024-6,45.74880692,26.09636714,41.4391765,0.861302194,31.91598213,408.7017
21,8,2,Pike,45.51439283,24.38420916,40.26191737,0.741882895,31.71893666,416.4336
22,7,2,Atlantic,55.69343123,31.72918967,37.10308291,1.100886258,28.47068231,706.519
23,6,2,Snowden,54.62930128,33.30202267,37.17800758,1.302100365,26.27521583,608.7147
24,5,2,W19028-17,56.28857194,27.77687221,37.26777467,0.927856265,25.82655072,490.37065
25,4,2,MSGG409-2,50.77645521,29.10789413,40.01185756,1.033688071,27.92922705,562.38985
26,3,2,MSGG242-1,56.46681326,33.46376013,37.39227244,1.044283669,24.82135853,531.8313
27,2,2,W19024-23,54.33201128,31.2300959,38.08454407,1.012643982,28.16260218,599.2767
28,1,2,W19015-3,55.82196348,32.47635763,35.34521024,1.09130467,31.23305409,655.54775
29,1,3,W19027-10,54.94066862,28.89413153,39.01587546,1.006303581,24.63960783,576.15965
30,2,3,W17039-7,54.964137,31.11877053,38.73259782,1.15426958,26.18058083,739.40075
31,3,3,W19ND1810Y-6,51.82632189,27.8978106,37.43174265,0.976807528,32.58150297,412.43455
32,4,3,W19021-2,52.15882518,30.99263019,39.24844569,1.140060007,30.5124329,478.44005
33,5,3,W19008-2,53.78677771,27.88743663,37.51688392,1.006224094,27.28432449,650.27215
34,6,3,ND14348ABC-1,46.73068217,23.89992726,39.63825096,0.912680817,34.50975887,298.13795
35,7,3,W19MSU1-23,56.89211375,33.18443838,37.1509863,1.063205102,24.49236522,619.2417
36,8,3,W19024-29,56.64097654,35.07939931,36.16984051,1.177348586,27.0370299,619.3869
37,9,3,Lamoka,50.82968963,26.4776878,39.78963447,0.997581484,24.6405846,378.36095
38,10,3,W19002-14,54.94179704,27.90002411,38.42990043,1.191833207,25.04444391,519.37435
39,11,3,MSGG294-1,53.8053752,31.47543972,38.70069781,1.299416458,26.99655324,474.10825
40,12,3,W19027-52,54.12978878,28.73125965,34.36260002,1.090221045,28.1615888,573.9272
41,13,3,W19026-13,58.17832187,30.96264884,37.91305919,0.959640312,20.47641659,624.01515
42,14,3,W19023-13,56.22360541,32.45192999,37.79926857,0.949164826,24.75817792,515.91375
43,14,4,W19MSU2-10,55.00968701,27.47536239,36.91181141,0.853903041,25.43775165,512.91295
44,13,4,W19ND1810Y-7,54.95390096,25.15776647,35.43687094,0.909882628,25.14006622,522.2602
45,12,4,W19029-14,56.56788109,30.45532376,34.86425066,1.107937159,25.1494285,597.31045
46,11,4,ND1780-2,53.77496909,25.65449046,38.4426875,0.98203662,22.85497836,462.1716
47,10,4,ND1776-11,52.02316907,20.34861098,38.58349843,0.812067899,25.29427047,414.23745
48,9,4,MN19TX18304-1,59.02173775,27.78034407,33.5460289,0.98694684,27.46245325,682.93005
49,8,4,W19029-17,53.23867529,29.25455498,39.40395252,1.052561635,27.78280726,618.2979
50,7,4,W19026-11,54.9271738,29.5384881,38.23562817,0.955476221,23.96481783,630.6278
51,6,4,MSGG343-1,52.88771567,30.80424661,37.57361337,0.980793507,33.87800534,576.444
52,5,4,W17049-10,50.32622009,29.67465618,39.75345601,1.027546974,33.01127293,481.2049
53,4,4,MSHH664-01,57.52046533,38.69279378,34.42956052,1.203261694,29.04931154,623.93045
54,3,4,W19017-3,55.71745286,32.01537057,38.90386319,1.014001645,23.11837123,327.22635
55,2,4,W19024-18,57.11792314,33.1746849,35.44483186,1.13318435,27.80214927,590.64335
56,1,4,W19027-12,53.57247614,33.11982618,40.00924157,1.085964248,26.56599266,610.324
57,1,5,W19021-4,55.05594455,34.50485415,38.46432184,1.147207161,23.48013743,804.9525
58,2,5,W19027-40,55.40269782,31.57994669,38.1473008,1.064732173,24.22400194,561.4642
59,3,5,MSGG263-1,58.72337443,30.45707353,34.63527949,1.085981876,25.65500119,631.96485
60,4,5,W19026-15,50.87807944,26.69869973,39.06406039,0.965357255,32.02747953,452.8909
61,5,5,W19MSU2-8,53.28475187,26.22596303,37.82682251,0.888379879,31.01966778,687.96365
62,6,5,W19024-22,52.87514138,30.98525339,35.79565622,0.957510168,36.516665,465.19055
63,7,5,W19027-55,54.8164254,36.5509864,38.47646805,1.093897431,25.26323348,773.19
64,8,5,W17043-37,54.88214912,31.23633764,35.56735269,1.042751641,32.40067319,529.3145
65,9,5,MSGG328-5,56.74943417,31.95226445,37.71796671,1.089235765,23.40190797,895.63595
66,10,5,W19026-16,55.62485408,26.33216298,37.68620341,0.840145202,27.16867379,743.50265
67,11,5,ND14359ABC-3,46.44017651,22.69849118,39.08045357,0.888324663,31.52465601,431.02015
68,12,5,W19024-20,52.10202863,27.22264152,36.61325996,0.936087337,36.08406349,563.6543
69,13,5,MSGG384-2,50.3627397,27.01495117,38.49476849,0.914118796,35.25447305,460.30215
70,14,5,W19028-23,59.70417233,34.42231611,35.42570656,0.987527216,22.25206924,560.8229
71,14,6,MSGG169-2,47.11882221,30.0478365,41.08514082,0.81854705,28.51041336,471.8032
72,13,6,Hodag,54.92856501,33.92944432,39.1962083,1.030405485,23.88011388,567.5626
73,12,6,W19028-19,54.53656145,35.08608236,38.71080023,1.260448115,23.86983812,551.99595
74,11,6,W19027-53,58.24394397,34.41182877,36.1790201,1.198311897,19.89430486,635.8792
75,10,6,MSGG409-3,56.74204366,34.08580856,35.87745287,1.114847224,27.94808324,666.6011
76,9,6,W16219-8,53.57060813,35.40400254,40.73691691,1.113166578,23.03248147,499.5848
77,8,6,W19022-3,55.14605877,33.7842205,36.56642146,1.1111503,30.93869261,499.2339
78,7,6,W17039-31,54.80165549,35.30821265,38.84756433,1.163903812,23.64464392,588.7497
79,6,6,W17060-9,54.59108923,34.20604884,38.5228392,1.150335676,27.59196653,573.40085
80,5,6,W19005-7,57.87155173,30.32664224,36.14837881,1.042200753,22.93105454,509.1922
81,4,6,MSGG195-1,58.67679375,28.29034635,36.45863364,1.094283674,21.12693555,621.05065
82,3,6,W19027-19,53.23201015,24.39601826,34.95652407,0.890505789,33.57076037,352.80575
83,2,6,W19023-24,53.244376,32.39548293,35.40458315,0.933740194,35.39593734,533.9004
84,1,6,W19026-12,51.7913603,25.66803089,40.31110364,0.838169815,25.60086954,463.95635
85,1,7,MN19AF6866-12,49.57484365,23.60278718,38.53343867,1.007241962,30.34321709,352.05555
86,2,7,W19009-22,51.54503537,32.86671631,36.2570921,1.098974639,37.00333025,639.2793
87,3,7,W19026-3,49.63476076,28.99681822,39.37966105,0.968368931,27.10386344,371.64545
88,4,7,Atlantic,55.63149065,31.23355733,37.11473363,1.139972533,28.09332399,586.5717
89,5,7,W19007-11,51.75992418,30.9950642,37.77560331,0.980298425,29.12882723,572.68695
90,6,7,W19023-4,51.3686951,35.37347127,37.79972695,0.954030783,35.42296328,669.1179
91,7,7,W15200-3,57.17971628,33.60731687,36.6522508,1.010518495,25.21966099,550.4048
92,8,7,W19012-14,53.14468787,33.37851353,38.25744392,1.001483863,29.67063686,507.35905
93,9,7,W19012-3,51.20544569,26.00887098,37.08037742,1.006874169,34.25197815,577.0732
94,10,7,W19027-33,50.72279776,21.55301832,35.91595296,0.879366492,28.33000806,537.724
95,11,7,W19MSU2-9,52.9486112,26.30877316,35.79890702,0.938982522,28.74709557,547.2951
96,12,7,Lamoka,51.76193803,33.25574454,39.69389628,1.113502706,29.21844888,625.1344
97,13,7,W19008-3,56.07572291,33.42899239,38.81459147,1.170718368,22.71490803,646.48485
98,14,7,MSGG276-4,53.64199323,31.4099925,39.19225235,0.95590301,25.13912791,539.3575
99,14,8,W17037-3,56.27585828,34.31251596,35.696995,1.235725984,29.35020741,642.1591
100,13,8,W19031-12,56.94005199,29.41914398,35.93396048,1.086951217,27.11748566,555.23875
101,12,8,W19026-20,53.41404654,25.81399115,37.18645052,0.909101942,28.72779622,499.91755
102,11,8,W19031-1,58.22111902,33.80910266,34.65589061,1.126297014,26.58977971,707.96495
103,10,8,W19022-12,56.64816897,31.50167461,37.61685162,1.028477758,24.23774533,604.395
104,9,8,ND1776-8,54.07418205,27.88590866,39.12766552,1.021422904,22.47619512,583.7645
